Uin,gender,age,device,has_interest_online,interestss_TVShows,interests_Travel,interests_Society,interests_Pets,interests_Natural,interests_Cars,interests_Foods,interests_Music,interests_Digital,interests_Life,interests_Sports,interests_Reading,interests_Childproducts,interests_Fashion,interests_Tech,interests_Entertainment,interests_Health,interests_Cartoon,interests_Finance,interests_Realestate,interests_Videogames,interests_Art,Group
cb060a8f82fc6f9ded7cb5cde62db423,1,59,2,0,0.0,5.21199549,11.85842019,0.0,0.0,0.0,0.0,3.904470049,0.0,7.229371262000001,0.0,1.25143431,0.0,0.0,0.0,0.0,12.04293494,0.0,0.0,0.0,0.0,1.641766836,1
30f67fe0612905cb9b24165aefa818a1,1,55,2,1,0.0,0.0,353.37825860000004,0.0,0.0,0.0,0.0,0.0,0.0,33.14046763,0.0,45.41033282,0.0,0.0,4.791723848999999,0.0,50.16791264,0.0,0.0,0.0,0.0,0.0,2
e26f4dbac531766d62f94ec86e9425da,1,51,2,1,0.0,1.7896005369999999,50.55318598,0.0,0.0,0.0,4.3392310830000005,9.835686785,0.0,29.09707168,0.0,0.0,0.0,0.0,1.299355244,0.0,29.477976399999996,0.0,1.438491943,0.0,0.0,2.068125167,1
f2af81d2495df38f5e3dd3b8dfc2589,1,34,2,0,1.8068416219999999,0.0,0.0,0.0,0.0,0.0,6.1139941339999995,0.346856636,0.0,0.0,0.0,7.374733987000001,0.0,0.0,0.0,0.0,6.978632697,0.0,0.0,0.0,0.0,0.0,2
f32bf89b114d71ad3a8c1f6d38655059,1,38,2,0,0.51213529,0.0,11.32308404,2.936911242,0.0,0.0,4.691514845,0.0,0.0,5.76014435,0.0,1.1255393790000001,0.0,0.0,0.7089644740000001,0.0,2.847176619,0.0,0.0,1.849329824,0.0,0.0,0
984712f9c7b864a30ab79574eac811f1,1,64,2,1,0.0,5.549766785,177.159924,0.0,0.0,0.0,4.987567472,0.0,0.0,48.12980571,0.0,8.349591898,0.0,0.0,5.948040113999999,0.0,35.07183771,0.0,4.211097728,0.0,0.0,0.0,2
dcbe01403468c8e1c9af8b813b1c0b3d,1,52,2,0,0.0,0.0,5.940935034,0.0,0.0,0.250987316,1.126675174,0.0,0.175175396,0.0,0.254915093,0.147153482,0.0,0.0,2.1413048359999998,0.0,0.6225723000000001,0.0,0.0,0.0,0.0,0.0,1
50824063940c05f37ea238515ba13f3f,1,43,2,0,0.0,15.25737132,161.1593469,0.0,0.0,0.0,0.0,33.98627939,0.0,111.79561149999999,0.0,0.0,0.0,0.0,3.9494117280000003,0.0,29.43824396,0.0,0.0,0.0,0.0,5.615279323999999,0
98501b98aa70a5c8681c84d6c9b3c02a,1,65,2,0,0.0,0.391798756,11.31813645,0.0,0.0,0.0,1.368882694,8.458018625,0.0,4.054168733,0.0,3.193468615,0.0,0.0,1.1331143609999998,0.0,5.854533555,0.0,0.0,0.0,0.0,0.0,2
7dd6ce5d301f9edb8f37e5d3f1dd386,1,49,2,1,0.0,0.0,1761.584789,0.0,0.0,177.6966736,0.0,0.0,0.0,360.5263318,0.0,98.90954563,0.0,0.0,45.54390713,0.0,202.8412679,0.0,0.0,63.21341531,0.0,0.0,0
